/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/changsheng/PycharmProjects/IdiomUsage/FindingOptimalTopic.py
17 -3596.79621021
18 -3651.80747035
19 -3664.48826772
20 -3708.39413451
21 -3685.12995807
22 -3749.37998014
23 -3775.43921699
24 -3713.77908629
('blow_whistle', 7, -2554.2110784563015, 4, 4)
2 -2234.67708762
3 -2208.29390489
4 -2173.12316372
5 -2175.50555951
6 -2218.02783566
7 -2193.07363181
8 -2211.27332223
9 -2223.76956408
10 -2222.36838543
11 -2234.95127424
12 -2210.83613272
13 -2287.43997798
14 -2251.66913904
15 -2225.18793966
16 -2245.94692099
17 -2300.2992766
18 -2289.72514479
19 -2332.18852914
2 -1558.31136697
3 -1526.20273766
4 -1513.95475501
5 -1521.64773311
6 -1523.14648228
7 -1509.71888804
8 -1527.1828174
9 -1517.86858785
10 -1528.05687387
11 -1576.00209746
12 -1564.02853976
13 -1565.47737577
14 -1553.04077932
15 -1583.41978531
16 -1616.61851645
17 -1599.41581167
18 -1601.7992533
19 -1600.52528976
20 -1626.43168633
21 -1652.37263378
22 -1658.40847953
23 -1647.5990257
24 -1678.98032164
('make_scene', 4, -2173.1231637181418, 7, 7)
2 -1163.09279605
3 -1179.77139529
4 -1164.82765242
5 -1171.55154792
6 -1172.29057035
7 -1202.88614054
8 -1209.72645611
9 -1202.6044344
10 -1213.89843884
11 -1219.82040063
12 -1251.94970433
13 -1239.93172851
14 -1264.42163339
15 -1266.09164468
16 -1253.24544893
17 -1245.40600991
18 -1255.43734863
19 -1266.33092193
2 -1403.96743702
3 -1377.67613527
4 -1397.22883604
5 -1413.35624441
6 -1432.16440179
7 -1402.82544642
8 -1419.61690013
9 -1394.77145662
10 -1432.62426417
11 -1421.93970751
12 -1469.46035174
13 -1481.39472492
14 -1460.45839238
15 -1457.29251947
16 -1465.21323948
17 -1469.03609095
18 -1464.85810583
19 -1488.77350138
20 -1494.30150906
21 -1512.38849573
22 -1496.07056729
23 -1508.14580666
24 -1502.69977934
('lose_head', 2, -1163.0927960515166, 3, 3)
2 -5234.7833559
3 -5169.94982102
4 -5090.36381964
5 -5059.69528211
6 -5078.32654997
7 -5104.19672986
8 -5103.61832637
9 -5123.32892605
10 -5111.41238584
11 -5130.18954058
12 -5139.87980228
13 -5183.99257681
14 -5242.84491341
15 -5254.41885497
16 -5243.54381445
17 -5286.79037928
18 -5231.19252677
19 -5253.90996607
2 -1425.11530022
3 -1375.14605263
4 -1373.31401918
5 -1394.77446186
6 -1367.21267826
7 -1378.9864049
8 -1394.60338358
9 -1405.99203915
10 -1401.20603768
11 -1411.71856211
12 -1437.81803328
13 -1421.72288366
14 -1459.81001533
15 -1443.18236172
16 -1420.52401176
17 -1449.52448859
18 -1473.21045132
19 -1478.59851405
20 -1477.77282536
21 -1476.86463342
22 -1512.06138761
23 -1495.15411616
24 -1525.83091384
('take_heart', 5, -5059.69528210989, 6, 6)
2 -1316.92241055
3 -1287.2213487
4 -1278.21951146
5 -1298.48388594
6 -1281.64948645
7 -1282.42768764
8 -1303.73996266
9 -1290.31308781
10 -1304.01001105
11 -1311.16063558
12 -1313.45670735
13 -1329.72905297
14 -1336.11552134
15 -1349.93342768
16 -1367.25263879
17 -1368.28930906
18 -1368.27356847
19 -1362.50294056
2 -807.872301497
3 -799.034648544
4 -781.40334835
5 -772.706250632
6 -769.007089437
7 -747.681403063
8 -760.030888709
9 -782.564323648
10 -780.254282129
11 -754.429714857
12 -786.619564127
13 -767.494250182
14 -788.277513639
15 -790.844816913
16 -802.56186788
17 -788.1488797
18 -809.136674583
19 -812.935128145
20 -827.132910987
21 -803.241552559
22 -812.538328832
23 -802.138863261
24 -839.140970381
('make_face', 4, -1278.219511461003, 7, 7)
2 -4715.38531225
3 -4620.45700501
4 -4562.18711409
5 -4525.84119303
6 -4603.31098343
7 -4584.92308589
8 -4578.27044869
9 -4593.06762409
10 -4662.60417828
11 -4663.08153093
12 -4644.25210634
13 -4593.04911271
14 -4694.55957458
15 -4709.63664464
16 -4692.73495365
17 -4711.13880209
18 -4717.61889576
19 -4772.35804013
2 -1340.43051771
3 -1325.00696204
4 -1319.95173367
5 -1315.98041172
6 -1339.79628863
7 -1338.59227448
8 -1326.40452206
9 -1348.06554376
10 -1356.99223889
11 -1383.56125461
12 -1366.40361733
13 -1399.3090784
14 -1395.52885326
15 -1429.66726273
16 -1414.00509563
17 -1434.82133315
18 -1427.31003716
19 -1438.2755489
20 -1444.72622817
21 -1446.63806105
22 -1449.3547067
23 -1426.40309519
24 -1466.30111873
('pull_plug', 5, -4525.84119303116, 5, 5)
2 -4615.10065198
3 -4539.89187953
4 -4509.82792058
5 -4527.87792071
6 -4561.64572977
7 -4589.22998043
8 -4559.49238123
9 -4628.6353776
10 -4670.93816988
11 -4663.03109941
12 -4738.92124366
13 -4659.98761336
14 -4721.18728825
15 -4747.59196371
16 -4778.58655953
17 -4791.39420377
18 -4827.91709488
19 -4819.65140561
2 -822.457068539
3 -817.581649436
4 -809.585110707
5 -783.981884562
6 -805.926661594
7 -796.474937222
8 -776.034534343
9 -812.838448094
10 -796.289280058
11 -801.992081484
12 -818.041108177
13 -813.106177807
14 -824.864847785
15 -803.85324902
16 -812.212521326
17 -824.499552075
18 -822.168355242
19 -852.17443891
20 -849.686120933
21 -853.858131088
22 -841.858238844
23 -849.981576156
24 -844.818338985
('have_word', 4, -4509.8279205848185, 8, 8)
2 -6938.05901051
3 -6814.59081915
4 -6754.99044657
5 -6755.0453085
6 -6756.95211429
7 -6702.10843164
8 -6784.98244516
9 -6731.25330807
10 -6725.09456333
11 -6825.99231396
12 -6847.80499307
13 -6859.34571552
14 -6865.28609075
15 -6841.92513017
16 -6893.45189512
17 -6920.77342465
18 -6929.38742283
19 -6994.05387955
2 -1290.37621369
3 -1220.17316983
4 -1204.76990093
5 -1247.26739394
6 -1208.20099923
7 -1265.40188364
8 -1240.52647775
9 -1253.09756816
10 -1268.26583968
11 -1247.47005504
12 -1238.1212921
13 -1301.28649335
14 -1258.22115813
15 -1328.18590683
16 -1264.35928873
17 -1284.35166896
18 -1314.85077786
19 -1316.48138093
20 -1309.17351615
21 -1304.35954202
22 -1310.71368644
23 -1315.40987369
24 -1339.17626159
('make_mark', 7, -6702.1084316396355, 4, 4)
2 -869.443218686
3 -860.156827445
4 -880.766555327
